Site Name	Purpose	Culture	Location type	Water type	Capacity	Lat	Long
AUSTEVOLL SEA ORGANIC AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	15.3 DA	60.040633	5.192050
AUSTEVOLL SEA ORGANIC AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	15.3 DA	60.040633	5.192050
ALGETUN AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	11 DA	60.416317	4.909883
ARCTIC SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	130 DA	60.438150	4.949183
ARCTIC SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	130 DA	60.438150	4.949183
ARCTIC SEAWEED AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	130 DA	60.438150	4.949183
ALGETUN AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	11 DA	60.416317	4.909883
ALGETUN AS	KOMMERSIELL	Butare	SJØ	SALTVANN	11 DA	60.416317	4.909883
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Butare	SJØ	SALTVANN	1560 TN	59.928017	5.230150
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	1560 TN	59.928017	5.230150
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	1560 TN	59.928017	5.230150
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	1560 TN	59.928017	5.230150
LERØY VEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	154 DA	60.114117	6.190267
LERØY VEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	154 DA	60.114117	6.190267
LERØY VEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	154 DA	60.114117	6.190267
LERØY VEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	110 DA	60.111750	6.170850
LERØY VEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	110 DA	60.111750	6.170850
LERØY VEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	110 DA	60.111750	6.170850
TANG AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	100 DA	59.749417	5.798317
TANG AS	KOMMERSIELL	Butare	SJØ	SALTVANN	100 DA	59.749417	5.798317
TANG AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	100 DA	59.749417	5.798317
LERØY VEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	110 DA	60.121467	6.219617
LERØY VEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	110 DA	60.121467	6.219617
LERØY VEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	110 DA	60.121467	6.219617
HARDANGERFJORD SEAWEED FARM AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	108 DA	60.392933	6.307283
HARDANGERFJORD SEAWEED FARM AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	108 DA	60.392933	6.307283
HARDANGERFJORD SEAWEED FARM AS	KOMMERSIELL	Butare	SJØ	SALTVANN	108 DA	60.392933	6.307283
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	1560 TN	60.742150	5.344317
